District,Province,Capital,Area,Population
Kailahun,Eastern,Kailahun,3859,358190
Kenema,Eastern,Kenema,6053,497948
Kono,Eastern,Sefadu,5641,335401
Bombali,Northern,Makeni,7895,408390
Kambia,Northern,Kambia,3108,270462
Koinadugu,Northern,Kabala,12121,265758
Port Loko,Northern,Port Loko,5719,453746
Tonkolili,Northern,Magburaka,7003,347197
Bo,Southern,Bo,5219,463668
Bonthe,Southern,Bonthe,3468,139687
Moyamba,Southern,Moyamba,6902,260910
Pujehun,Southern,Pujehun,4105,228392
Western Rural,Western,Waterloo,544,174249
Western Urban,Western,Freetown,13,772873
